Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Kole Calhoun,TEX,109,445,392,90,17,1,19,54,54,44,103,5,3,1,,0.23,0.312,0.423,0.735,0.316,101,,1.1,,534,,2.48,1.97,0.41,11200
Manuel Margot,TBR,115,439,398,101,20,3,11,53,47,35,74,2,14,6,,0.255,0.316,0.397,0.713,0.309,94,,1.1,,418.2,,3.05,-0.33,1.07,14712
Lane Thomas,WSN,114,432,383,92,20,3,14,55,51,44,114,4,10,4,,0.24,0.323,0.414,0.737,0.32,98,,1.1,,285.4,,2.3,-0.84,0.64,16939
Tyrone Taylor,MIL,81,289,262,64,13,2,12,35,39,20,63,5,5,1,,0.245,0.31,0.441,0.751,0.323,99,,1,,538.7,,2.68,-1.05,0.87,13675
Austin Slater,SFG,88,296,260,65,12,1,9,38,30,30,77,5,12,3,,0.251,0.338,0.416,0.754,0.329,107,,1,,578.3,,4.95,1.53,1.34,16153
LaMonte Wade Jr.,SFG,109,427,372,90,17,3,15,54,50,45,91,6,6,2,,0.242,0.333,0.424,0.756,0.328,106,,1,,373.7,,2.81,-0.35,0.41,18126
Ben Gamel,PIT,143,542,471,116,26,3,13,60,51,62,141,5,6,3,,0.246,0.338,0.396,0.734,0.321,101,,0.9,,581.3,,4.65,-0.35,0.37,12160
Joc Pederson,SFG,119,447,397,93,19,2,19,56,57,39,104,9,2,2,,0.236,0.316,0.441,0.757,0.324,104,,0.9,,491.3,,2.81,-0.36,0.33,11899
Jason Heyward,CHC,83,324,288,70,12,2,9,37,33,31,62,3,4,1,,0.243,0.321,0.387,0.708,0.308,93,,0.9,,595,,2.19,-0.22,0.85,4940
Jordan Luplow,ARI,84,327,282,67,15,1,14,41,42,39,82,4,3,2,,0.236,0.335,0.444,0.779,0.337,108,,0.8,,600.3,,3.71,-1.46,0.58,16424
Gavin Sheets,CHW,110,418,377,95,17,1,18,50,59,36,95,3,1,1,,0.252,0.32,0.446,0.766,0.329,107,,0.8,,527.5,,2.64,0.67,0.45,19901
Tyler Naquin,CIN,120,475,434,113,23,2,18,58,63,31,114,4,5,2,,0.261,0.315,0.447,0.762,0.325,97,,0.7,,366.3,,3.25,-0.09,0.32,13359
Seth Brown,OAK,128,460,423,95,20,2,21,55,60,32,138,3,5,2,,0.225,0.284,0.433,0.717,0.306,97,,0.7,,507.5,,4.37,-0.13,0.65,18171
Bryan De La Cruz,,67,263,241,65,12,1,6,29,27,18,61,2,2,1,,0.268,0.322,0.407,0.729,0.316,100,,0.7,,551.7,,5.48,-0.03,1.27,19600
Bradley Zimmer,CLE,90,340,296,66,12,1,9,40,33,30,118,10,13,3,,0.223,0.312,0.363,0.676,0.297,87,,0.7,,516.3,,4.63,-0.54,1.31,16221
Pavin Smith,ARI,123,502,447,118,24,3,12,58,53,43,89,3,2,1,,0.264,0.327,0.413,0.741,0.319,96,,0.7,,497.3,,2.25,0.28,0.52,19892
Charlie Blackmon,COL,124,543,483,134,26,4,16,74,68,46,91,8,3,1,,0.278,0.348,0.449,0.797,0.343,101,,0.6,,237.3,,2.46,0.66,0.68,7859
Randal Grichuk,COL,132,532,494,129,28,2,25,67,77,30,114,4,1,1,,0.26,0.306,0.476,0.782,0.331,93,,0.6,,349.8,,4.81,-3.33,0.58,10243
Hunter Dozier,KCR,122,493,441,104,22,4,17,56,55,45,135,5,5,2,,0.237,0.311,0.421,0.732,0.315,98,,0.6,,462.3,,3.44,-0.01,0.33,15117
Jo Adell,LAA,127,505,465,112,22,3,19,60,66,32,148,5,7,2,,0.241,0.296,0.427,0.722,0.31,95,,0.6,,221,,3.04,-2.54,0.45,20220
Kyle Isbel,KCR,78,298,271,67,14,2,7,35,30,22,70,3,8,2,,0.247,0.311,0.392,0.703,0.305,91,,0.6,,555.4,,4.35,0.62,1.17,21614
Chad Pinder,OAK,108,385,353,82,18,1,13,43,44,26,95,4,2,1,,0.233,0.291,0.401,0.693,0.299,92,,0.5,,574.5,,4.93,-0.16,0.4,15191
Josh Naylor,CLE,97,375,344,90,19,1,12,43,43,27,65,3,2,1,,0.261,0.319,0.423,0.742,0.32,102,,0.5,,584.5,,7.45,-0.59,0.75,18839
DJ Stewart,BAL,72,280,238,52,11,1,13,33,33,36,75,4,1,0,,0.219,0.329,0.426,0.755,0.328,106,,0.5,,600.5,,3.24,-0.24,0.71,17766
Taylor Ward,LAA,51,199,176,43,9,0,6,26,23,19,50,3,2,1,,0.246,0.328,0.412,0.74,0.322,104,,0.4,,601,,5.05,0.91,1.2,17548
Victor Reyes,DET,63,238,224,59,10,3,4,29,22,11,53,1,6,2,,0.263,0.301,0.39,0.692,0.299,88,,0.4,,594.6,,5.05,0.97,1.43,15487
Jose Siri,HOU,62,210,194,46,9,1,7,26,25,13,73,2,8,2,,0.236,0.289,0.405,0.693,0.298,90,,0.4,,578.9,,4.87,0.2,1.35,17452
Aristides Aquino,CIN,81,289,257,58,11,1,16,37,40,27,92,3,4,1,,0.225,0.305,0.464,0.769,0.327,99,,0.3,,589,,4.65,-0.05,0.74,15482
Clint Frazier,CHC,94,365,319,74,17,1,13,42,41,40,102,5,3,1,,0.234,0.326,0.416,0.742,0.323,103,,0.3,,499.5,,3.62,-0.24,0.56,15983
Edward Olivares,KCR,36,137,125,32,6,1,5,16,15,9,27,2,3,1,,0.258,0.312,0.427,0.738,0.317,99,,0.3,,578,,4.5,1.94,1.58,19698
Josh Lowe,TBR,58,224,199,47,10,1,7,27,26,22,65,1,8,1,,0.236,0.312,0.397,0.709,0.308,93,,0.3,,472.9,,9.38,-0.08,1.29,19953
Brett Phillips,TBR,59,186,161,31,5,2,7,24,21,21,67,1,8,2,,0.195,0.289,0.376,0.665,0.289,80,,0.3,,592.3,,3.71,0.05,1.33,14735
Trevor Larnach,MIN,83,334,295,69,14,0,9,37,35,31,107,5,2,0,,0.235,0.318,0.381,0.699,0.306,93,,0.2,,573,,4.49,-0.77,0.65,21501
Adam Eaton,,43,172,151,37,7,1,3,21,16,15,36,3,2,1,,0.246,0.325,0.378,0.703,0.309,94,,0.2,,999,,3.51,0.73,1.4,11205
Lars Nootbaar,STL,78,269,239,59,9,1,8,31,29,25,57,2,4,2,,0.248,0.321,0.398,0.719,0.312,95,,0.2,,578.1,,3.7,-0.5,1.07,21454
Nomar Mazara,SDP,50,201,183,44,9,1,6,21,24,15,49,2,1,0,,0.243,0.306,0.399,0.704,0.304,90,,0.1,,600.3,,4.86,0.11,1.2,14553
Romy Gonzalez,CHW,16,62,56,13,2,0,2,7,7,4,19,0,1,0,,0.229,0.289,0.394,0.683,0.295,84,,0.1,,999,,4.27,2.11,1.74,21562
Tim Locastro,NYY,35,119,107,25,5,1,2,15,10,8,24,4,4,1,,0.239,0.31,0.358,0.668,0.295,84,,0.1,,599.8,,2.22,0.99,1.66,15124
Harold Ramirez,TBR,42,168,157,43,9,1,4,18,20,8,30,2,1,0,,0.273,0.315,0.418,0.732,0.315,98,,0.1,,584.7,,4.4,1.65,1.52,14387
Daz Cameron,,31,118,107,24,5,1,3,14,12,9,33,2,4,1,,0.229,0.302,0.383,0.685,0.299,88,,0.1,,599.3,,4.58,1.37,1.59,18353
Brian Goodwin,,44,166,148,34,8,1,5,19,19,16,45,1,2,1,,0.231,0.307,0.393,0.7,0.304,90,,0.1,,600.6,,4.41,-1.12,1.3,12858
Luke Raley,TBR,16,55,50,11,2,0,2,6,7,3,17,2,0,0,,0.223,0.296,0.397,0.693,0.301,88,,0.1,,999,,4.53,2.05,1.73,19354
Ryan LaMarre,,10,31,28,6,1,0,1,4,4,2,8,1,1,0,,0.228,0.303,0.391,0.693,0.303,90,,0.1,,999,,3.05,0.27,1.86,10700
Ryan McBroom,,15,34,31,7,1,0,1,4,4,2,11,0,0,0,,0.227,0.285,0.386,0.671,0.29,81,,0.1,,999,,5.61,3.59,1.83,16524
Travis Demeritte,ATL,6,25,23,5,1,0,1,3,3,2,9,0,0,0,,0.231,0.302,0.462,0.765,0.326,100,,0.1,,999,,4.97,2.03,1.87,15958
Billy McKinney,,26,94,83,18,4,1,3,10,9,9,23,1,1,0,,0.212,0.295,0.388,0.683,0.296,90,,0,,599.2,,3.3,1.41,1.56,15654
Alfonso Rivas,CHC,22,82,73,18,4,0,1,9,8,8,21,1,0,0,,0.246,0.329,0.356,0.685,0.304,90,,0,,999,,2.79,0.93,1.69,21560
Zach Reks,,13,50,45,10,2,0,2,5,5,5,18,1,0,0,,0.222,0.302,0.372,0.674,0.296,87,,0,,999,,3.71,2.24,1.76,19667
Greg Deichmann,,9,28,25,5,1,0,0,3,2,3,9,0,0,0,,0.213,0.296,0.328,0.624,0.278,73,,0,,999,,2.71,1.48,1.87,19872
Daniel Johnson,CLE,23,74,68,15,3,0,2,8,8,5,23,1,1,0,,0.224,0.287,0.386,0.673,0.292,83,,0,,999,,6.55,2.18,1.68,19643
Dillon Thomas,LAA,7,21,19,4,1,0,1,2,2,2,9,0,0,0,,0.204,0.28,0.339,0.62,0.274,71,,0,,999,,4.14,3.53,1.89,12719
Kyle Garlick,MIN,24,72,67,15,4,0,3,9,9,4,23,1,0,0,,0.22,0.27,0.418,0.688,0.294,84,,0,,999,,4.07,0.42,1.61,18063
Monte Harrison,,10,23,20,4,1,0,1,2,2,2,9,0,1,0,,0.199,0.266,0.333,0.599,0.264,67,,0,,999,,3.2,3.1,1.89,17216
Jake McCarthy,ARI,78,292,262,60,12,3,7,35,28,23,83,3,13,3,,0.228,0.296,0.378,0.675,0.294,80,,0,,601,,2.77,-0.53,1.42,21622
Hunter Owen,PIT,11,29,26,5,1,0,1,3,3,2,12,1,0,0,,0.203,0.266,0.356,0.622,0.27,68,,0,,999,,3.01,2.84,1.84,20034
Dexter Fowler,,28,104,91,20,4,0,3,12,10,12,27,1,2,1,,0.219,0.315,0.363,0.678,0.295,85,,-0.1,,999,,4.26,0.43,1.57,4062
Khalil Lee,,15,50,43,9,2,0,1,6,4,6,18,1,1,0,,0.211,0.315,0.307,0.622,0.283,76,,-0.1,,596.7,,3.94,0.81,1.76,19952
Josh Palacios,,24,92,80,18,4,0,1,10,8,8,23,1,1,0,,0.23,0.306,0.337,0.643,0.284,75,,-0.1,,999,,4.2,0.97,1.64,19818
Trayce Thompson,,11,35,32,6,1,0,1,4,4,3,13,0,1,0,,0.19,0.267,0.36,0.627,0.274,70,,-0.1,,999,,2.96,2.74,1.8,9952
Steven Souza Jr.,,14,46,41,8,1,0,1,5,5,5,16,0,0,0,,0.192,0.28,0.316,0.596,0.265,70,,-0.1,,999,,3.61,1.31,1.74,5667
Matt Joyce,PHI,27,82,70,16,3,0,2,9,8,10,19,1,0,0,,0.225,0.327,0.369,0.696,0.306,89,,-0.1,,999,,2.09,-0.03,1.62,3353
Luis Barrera,,29,99,92,21,4,1,1,10,8,6,22,0,2,0,,0.227,0.281,0.306,0.586,0.26,65,,-0.1,,999,,3.34,0.15,1.65,19615
Jake Cave,MIN,32,111,102,23,5,0,3,12,11,7,36,2,1,0,,0.224,0.29,0.357,0.646,0.283,78,,-0.1,,999,,4.13,0.55,1.5,14477
Jared Oliva,,23,80,73,17,4,1,1,8,7,5,22,1,3,1,,0.226,0.287,0.329,0.616,0.271,68,,-0.2,,999,,3.54,1.46,1.74,19968
Stephen Piscotty,OAK,107,398,363,83,16,1,12,39,44,28,99,4,3,1,,0.229,0.29,0.38,0.67,0.29,86,,-0.2,,595.3,,2.94,0.39,0.54,13367
Zach McKinstry,,36,121,111,24,4,1,3,15,15,8,30,1,1,0,,0.213,0.271,0.351,0.622,0.27,68,,-0.2,,598,,5.07,0.18,1.36,19392
Josh Reddick,,35,116,107,26,5,1,2,12,12,8,22,0,0,0,,0.243,0.295,0.364,0.658,0.285,75,,-0.2,,999,,1.13,0.09,1.55,3892
Jose Rojas,LAA,28,95,87,18,3,0,3,11,11,8,25,0,1,0,,0.206,0.272,0.339,0.611,0.268,67,,-0.2,,600.4,,5.24,1.32,1.51,19331
