Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Ben Rortvedt,NYY,78,274,246,54,10,1,8,28,30,20,75,4,1,0,,0.218,0.284,0.368,0.652,0.284,77,,1,,999,,1.78,2.12,0.76,20287
Joey Bart,SFG,94,356,331,80,15,1,9,37,38,19,111,6,1,1,,0.241,0.293,0.37,0.663,0.289,80,,0.9,,277.8,,1.27,-0.14,0.61,21524
Pedro Severino,MIL,80,298,267,64,11,1,10,27,34,25,73,2,0,0,,0.239,0.309,0.399,0.708,0.307,89,,0.9,,532.5,,2.66,0.11,0.89,14523
Jonah Heim,TEX,52,193,177,41,9,0,6,19,22,13,36,2,1,0,,0.234,0.29,0.389,0.679,0.293,85,,0.9,,553.7,,3.19,-0.87,1.24,16930
Curt Casali,SFG,78,264,233,51,10,0,8,25,27,26,74,4,0,0,,0.221,0.309,0.365,0.674,0.296,85,,0.9,,592.4,,2.34,0.05,0.87,12510
Jason Castro,HOU,48,168,145,31,6,0,7,19,19,20,53,2,0,0,,0.215,0.319,0.397,0.716,0.313,100,,0.8,,599.9,,1.69,-0.58,1.17,8722
Austin Barnes,LAD,60,214,188,42,8,0,5,25,23,21,52,4,2,1,,0.226,0.312,0.358,0.67,0.296,85,,0.8,,594.7,,1.55,0.41,1.06,12158
Riley Adams,WSN,67,239,209,47,10,1,7,27,26,23,80,6,1,0,,0.225,0.319,0.376,0.696,0.308,89,,0.8,,593.9,,3.61,-0.02,0.92,19864
Cal Raleigh,SEA,61,226,209,47,11,0,8,22,27,14,61,2,1,1,,0.224,0.277,0.396,0.673,0.289,86,,0.8,,574.1,,2.93,-0.84,1.01,21534
Robinson Chirinos,BAL,66,232,202,44,9,1,8,25,27,22,70,6,0,0,,0.216,0.308,0.39,0.698,0.305,91,,0.7,,594.4,,3.23,0.11,0.91,3142
Kevin Plawecki,BOS,64,227,206,53,11,1,5,23,25,16,40,4,0,0,,0.255,0.321,0.386,0.707,0.307,89,,0.7,,584,,1.93,-0.75,1.23,13807
Eric Haase,DET,88,334,302,66,12,1,16,38,44,24,109,2,1,1,,0.219,0.277,0.427,0.704,0.299,88,,0.7,,313.9,,4.37,0.05,0.58,14111
Luis Torrens,SEA,72,273,248,59,12,1,10,28,33,22,67,2,0,0,,0.238,0.302,0.412,0.714,0.305,97,,0.7,,455.6,,5.33,0.22,0.88,15905
Victor Caratini,SDP,56,191,169,41,7,0,4,19,21,18,43,3,1,0,,0.241,0.32,0.362,0.682,0.3,87,,0.7,,586.3,,2.78,-0.1,1.28,14968
Austin Allen,OAK,46,162,151,35,8,0,6,16,18,9,44,2,0,0,,0.234,0.282,0.4,0.682,0.293,88,,0.6,,599.5,,3.34,1.39,1.32,18083
Andrew Knizner,STL,56,201,179,42,7,0,4,20,19,16,40,3,1,0,,0.233,0.302,0.347,0.65,0.285,78,,0.6,,599.4,,1.52,2.51,1.23,19514
Zack Collins,CHW,40,147,126,27,6,0,5,17,17,19,46,1,1,0,,0.216,0.325,0.386,0.711,0.314,97,,0.6,,598.9,,2.84,-0.09,1.27,19181
Austin Hedges,CLE,97,352,318,62,11,0,12,33,38,21,100,3,1,1,,0.195,0.25,0.346,0.596,0.257,59,,0.5,,586.2,,2.68,-0.88,0.72,12976
Dom Nuñez,COL,68,249,217,44,9,1,10,28,29,28,77,2,1,0,,0.205,0.301,0.4,0.701,0.303,75,,0.5,,588.8,,1.41,-0.02,0.76,15055
Luis Campusano,SDP,34,123,113,29,5,0,3,13,14,9,29,1,0,0,,0.253,0.313,0.392,0.705,0.307,92,,0.5,,999,,4.41,0.48,1.53,22217
Michael Perez,PIT,54,192,173,36,8,1,6,18,20,17,53,1,0,0,,0.207,0.281,0.355,0.636,0.278,73,,0.5,,999,,1.6,0.12,1.09,12977
MJ Melendez,KCR,45,178,159,38,8,1,7,22,25,17,46,1,1,1,,0.237,0.313,0.441,0.754,0.323,103,,0.5,,466.1,,3.88,2.89,1.16,sa3004139
Wilson Ramos,,24,92,85,22,4,0,3,10,12,6,17,1,0,0,,0.264,0.315,0.418,0.733,0.315,99,,0.3,,600.9,,3.85,1.49,1.66,1433
Cam Gallagher,KCR,31,109,98,24,5,0,2,10,10,8,20,1,0,0,,0.24,0.301,0.343,0.644,0.284,77,,0.3,,600.6,,1.77,0.86,1.6,12981
Nick Fortes,,24,86,78,19,3,0,2,9,10,6,17,1,1,0,,0.243,0.311,0.375,0.686,0.3,90,,0.3,,596.7,,3.45,1.46,1.68,21538
Jake Rogers,DET,18,70,61,13,2,0,3,7,8,6,23,1,0,0,,0.208,0.29,0.387,0.676,0.295,85,,0.3,,600.8,,2.93,1.03,1.65,19452
Jose Trevino,TEX,50,184,171,40,8,0,4,17,18,8,34,1,1,0,,0.235,0.268,0.354,0.622,0.268,68,,0.3,,599.3,,1.72,1.35,1.3,16725
Cooper Hummel,ARI,34,134,115,28,5,1,4,16,15,16,32,2,1,0,,0.24,0.344,0.406,0.75,0.329,103,,0.3,,999,,2.57,2.11,1.46,sa918412
Tomás Nido,NYM,56,186,175,38,8,0,5,17,19,8,48,2,1,0,,0.22,0.263,0.346,0.609,0.264,64,,0.3,,600.9,,2.02,-0.82,1.19,13755
Jorge Alfaro,SDP,85,318,295,71,12,1,9,31,36,16,102,6,5,2,,0.24,0.293,0.377,0.671,0.292,82,,0.2,,464.6,,1.81,0.26,0.96,12180
Garrett Stubbs,PHI,27,96,81,18,4,0,1,10,8,10,20,1,1,0,,0.216,0.302,0.319,0.621,0.277,70,,0.2,,600.8,,1.71,1.4,1.61,18067
Stephen Vogt,OAK,56,195,175,37,8,1,6,18,21,17,47,1,0,0,,0.214,0.285,0.373,0.658,0.282,81,,0.2,,600.5,,2.07,1.47,1.13,5000
