Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Christian Walker,ARI,124,510,457,114,25,2,17,63,63,44,122,5,2,1,,0.25,0.321,0.427,0.748,0.322,99,,0.7,,518.5,,1.69,-0.86,0.21,13419
Connor Joe,COL,94,371,320,85,18,1,13,47,47,42,79,5,2,1,,0.265,0.357,0.45,0.807,0.349,105,,0.7,,345.9,,3.07,-0.39,0.69,16572
Ji-Man Choi,TBR,109,431,365,85,19,1,14,50,53,58,114,4,1,1,,0.232,0.34,0.407,0.747,0.327,105,,0.7,,580.7,,2.83,0.73,0.22,5452
Pavin Smith,ARI,123,502,447,118,24,3,12,58,53,43,89,3,2,1,,0.264,0.327,0.413,0.741,0.319,96,,0.7,,497.3,,2.25,0.28,0.52,19892
Matt Vierling,PHI,66,234,211,53,10,1,6,26,25,17,55,3,5,1,,0.251,0.311,0.397,0.708,0.306,89,,0.6,,575.2,,5.16,0.06,1.3,21558
Dominic Smith,NYM,110,416,374,97,21,1,16,47,56,31,93,6,1,1,,0.259,0.323,0.444,0.767,0.328,106,,0.5,,458.7,,1.85,-0.12,0.55,15653
Daniel Vogelbach,PIT,90,338,283,64,12,0,14,40,40,52,78,2,0,0,,0.226,0.348,0.416,0.764,0.335,110,,0.5,,587.6,,2.24,-1.08,0.49,14130
Bobby Bradley,CLE,104,420,373,80,16,1,21,50,59,38,144,5,0,0,,0.213,0.293,0.431,0.724,0.31,95,,0.5,,511.6,,2.39,2.09,0.75,17278
Eric Hosmer,SDP,125,509,462,122,22,1,15,56,63,40,98,4,4,2,,0.265,0.326,0.411,0.736,0.318,99,,0.4,,484.9,,3.17,0.13,0.48,3516
Yu Chang,CLE,60,218,200,46,10,1,7,25,27,15,61,2,2,1,,0.23,0.29,0.402,0.693,0.299,88,,0.4,,597,,2.22,-1.53,1.03,14773
Yoshi Tsutsugo,PIT,118,458,398,90,20,1,17,54,57,54,117,3,0,0,,0.227,0.321,0.411,0.733,0.319,99,,0.3,,458.9,,2.89,-1.71,0.39,27459
Lewin Díaz,,50,194,179,42,9,1,10,23,26,12,45,2,1,0,,0.234,0.29,0.45,0.74,0.314,99,,0.3,,590.8,,3.4,1.3,1.11,18365
Seth Beer,ARI,103,374,333,84,18,1,14,46,48,27,85,12,0,1,,0.253,0.33,0.438,0.769,0.332,105,,0.3,,553.5,,5.28,-0.64,0.52,20493
Matt Beaty,SDP,75,236,213,54,11,1,7,30,30,17,44,6,2,1,,0.254,0.326,0.409,0.735,0.32,101,,0.2,,591.1,,7.1,1.36,1.09,17710
Mitch Moreland,,51,193,174,41,8,1,8,23,26,17,44,1,0,0,,0.236,0.305,0.433,0.738,0.315,103,,0.2,,600.9,,2.19,-1.92,1.1,3086
Owen Miller,CLE,40,157,145,36,7,1,3,16,16,10,38,1,1,0,,0.248,0.3,0.373,0.673,0.293,84,,0.2,,600.8,,2.85,0.48,1.47,24655
Colton Welker,COL,57,199,182,48,10,1,5,24,25,15,44,2,1,0,,0.266,0.327,0.416,0.742,0.32,86,,0.2,,599,,3.68,0.63,1.3,19961
Renato Núñez,,23,86,78,19,4,0,4,10,11,6,22,1,0,0,,0.238,0.303,0.438,0.742,0.318,101,,0.1,,599.6,,6.19,3.38,1.6,14503
Matt Thaiss,LAA,20,72,65,14,3,0,2,9,8,7,18,0,0,0,,0.221,0.303,0.36,0.663,0.292,83,,0.1,,597.6,,4.28,2.21,1.63,19318
Danny Santana,,33,128,117,28,6,1,5,16,15,8,35,1,4,1,,0.235,0.292,0.424,0.716,0.305,88,,0.1,,999,,3.72,2.69,1.51,10322
Eric Thames,OAK,92,345,304,66,14,1,14,39,40,34,106,6,1,1,,0.218,0.308,0.407,0.715,0.308,98,,0.1,,593.2,,3.49,0.99,0.53,3711
Jake Lamb,LAD,13,46,40,9,2,0,2,6,6,5,13,0,0,0,,0.223,0.313,0.416,0.729,0.31,94,,0.1,,999,,3.11,0.71,1.75,13329
Tyler Nevin,BAL,23,83,75,17,4,0,3,9,9,7,19,1,0,0,,0.231,0.299,0.386,0.686,0.299,86,,0.1,,999,,3.36,2.99,1.65,17893
Taylor Jones,HOU,17,67,60,14,3,0,2,7,8,6,18,0,0,0,,0.24,0.31,0.388,0.698,0.303,94,,0.1,,999,,3.94,1.9,1.71,19533
Ryan McBroom,,15,34,31,7,1,0,1,4,4,2,11,0,0,0,,0.227,0.285,0.386,0.671,0.29,81,,0.1,,999,,5.61,3.59,1.83,16524
Ronald Guzmán,,12,37,33,7,1,0,1,4,4,3,10,0,0,0,,0.224,0.302,0.409,0.711,0.308,93,,0,,999,,3.33,3.59,1.81,14388
Wyatt Mathisen,SFG,13,40,34,8,1,0,1,4,4,4,13,1,0,0,,0.218,0.309,0.364,0.673,0.297,85,,0,,999,,3.3,0.44,1.8,14555
John Nogowski,ATL,17,56,50,12,2,0,1,6,6,5,9,1,0,0,,0.241,0.32,0.356,0.675,0.299,83,,0,,600.8,,3.2,1.62,1.76,16852
Alfonso Rivas,CHC,22,82,73,18,4,0,1,9,8,8,21,1,0,0,,0.246,0.329,0.356,0.685,0.304,90,,0,,999,,2.79,0.93,1.69,21560
Ryan O'Hearn,KCR,32,120,108,25,5,0,5,12,15,10,32,1,0,0,,0.231,0.3,0.406,0.706,0.304,90,,0,,600.4,,2.55,1.66,1.46,16442
Evan White,SEA,22,86,78,17,3,0,3,9,10,6,26,1,0,0,,0.219,0.281,0.377,0.657,0.285,84,,0,,600.8,,3.05,0.1,1.57,20078
Edwin Ríos,LAD,14,51,46,10,2,0,2,6,7,4,17,1,0,0,,0.226,0.296,0.434,0.731,0.313,96,,0,,592.8,,5.18,2.02,1.72,18316
Greg Bird,,10,39,35,8,2,0,2,5,5,4,11,0,0,0,,0.22,0.3,0.413,0.713,0.308,90,,0,,600.7,,4.57,1.9,1.78,14131
Willians Astudillo,MIA,17,54,52,13,2,0,2,5,6,1,3,1,0,0,,0.251,0.282,0.383,0.665,0.286,81,,0,,600.5,,5.05,1.28,1.8,15608
Michael Chavis,PIT,96,370,342,82,15,2,13,44,44,20,111,6,3,1,,0.24,0.291,0.413,0.704,0.302,88,,0,,580.6,,3.11,0.39,0.49,17321
Phillip Evans,,9,31,27,6,1,0,0,2,2,3,7,0,0,0,,0.224,0.306,0.311,0.617,0.278,73,,-0.1,,999,,6.71,1.9,1.89,12950
Jake Bauers,CIN,21,69,61,14,3,0,2,8,7,7,17,1,1,0,,0.227,0.314,0.363,0.677,0.298,80,,-0.1,,600.6,,3.69,2.03,1.72,15194
Jake Noll,WSN,11,31,29,7,1,0,1,3,3,2,6,0,0,0,,0.242,0.29,0.37,0.66,0.287,76,,-0.1,,999,,4.78,2.94,1.87,19703
Colin Moran,CIN,93,357,321,81,14,1,13,40,48,31,87,3,1,0,,0.253,0.321,0.423,0.744,0.321,95,,-0.1,,579.3,,5.2,0.91,0.64,16909
Alex Blandino,,29,76,65,14,3,0,1,8,6,8,22,2,1,0,,0.21,0.311,0.301,0.612,0.278,73,,-0.2,,999,,3.72,0.41,1.66,16271
Albert Pujols,STL,45,168,156,37,6,0,7,17,23,9,27,2,1,0,,0.236,0.282,0.409,0.69,0.292,82,,-0.4,,595.5,,2.48,-0.91,1.28,1177
