Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Tyrone Taylor,MIL,81,289,262,64,13,2,12,35,39,20,63,5,5,1,,0.245,0.31,0.441,0.751,0.323,99,,1,,538.7,,2.68,-1.05,0.87,13675
LaMonte Wade Jr.,SFG,109,427,372,90,17,3,15,54,50,45,91,6,6,2,,0.242,0.333,0.424,0.756,0.328,106,,1,,373.7,,2.81,-0.35,0.41,18126
Eddie Rosario,ATL,120,501,464,122,23,2,22,64,73,30,76,1,9,3,,0.264,0.307,0.465,0.773,0.327,101,,0.9,,180,,4.13,0.95,0.33,12155
Darin Ruf,SFG,101,346,299,75,14,1,15,44,45,42,91,4,2,1,,0.251,0.349,0.458,0.806,0.348,119,,0.9,,478.1,,5.39,1.13,0.6,9929
Ben Gamel,PIT,143,542,471,116,26,3,13,60,51,62,141,5,6,3,,0.246,0.338,0.396,0.734,0.321,101,,0.9,,581.3,,4.65,-0.35,0.37,12160
Joc Pederson,SFG,119,447,397,93,19,2,19,56,57,39,104,9,2,2,,0.236,0.316,0.441,0.757,0.324,104,,0.9,,491.3,,2.81,-0.36,0.33,11899
Andrew McCutchen,MIL,116,485,415,100,20,1,21,63,62,62,108,4,5,1,,0.241,0.343,0.442,0.785,0.337,109,,0.9,,327.4,,2.85,-1.09,0.3,9847
J.D. Davis,NYM,85,311,272,70,14,1,11,36,35,32,86,5,1,1,,0.257,0.343,0.429,0.772,0.335,111,,0.9,,524,,2.42,1.03,0.9,16219
Rafael Ortega,CHC,111,432,387,97,19,3,11,54,42,40,88,2,13,4,,0.251,0.323,0.399,0.722,0.315,97,,0.9,,363.8,,3.87,-0.1,1.05,10323
Jordan Luplow,ARI,84,327,282,67,15,1,14,41,42,39,82,4,3,2,,0.236,0.335,0.444,0.779,0.337,108,,0.8,,600.3,,3.71,-1.46,0.58,16424
Jake Fraley,CIN,90,347,297,72,15,2,12,43,44,43,93,5,12,3,,0.241,0.344,0.422,0.766,0.334,103,,0.8,,537.7,,6.97,-0.35,1.03,19260
